Name,overall_ratings,tota_no_ratings,total_no_review,five-star,four-star,three,two-star,one-star,reviews
MOTOROLA ZX2 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Atmos and Dolby Vision  (40SAFHDME),4.2,,"3,052 Reviews","10,999","5,035","1,245",259,778,"Excellent Led Smart Tv this Range Sound quality excellent Net connectivity excellent Remote looking also excellent Google assistant also excellentREAD MOREThis TV is a great purchase with all the lastest features. With Android 10, the TV is super smooth and the boot time is very very less as compared to other TVs. And also it boots up extremely fast if it is in stand by mode. Picture quality is just awesome and it is able to play 4K videos from youtube and at the same time it supports dolby vision which makes the picture quality more awesome (the video which you are playing should be Dolby vision as well). I did not have any connectivity issues...READ MOREAwesome picture quality 😍 Amazing sound with 40 watt speaker 🤩🤩If someone looking to buy compact 40 inch LED smart Android TV then Go for it without any hasitation.I am loving it...👍👍READ MOREI am writing this review after 10 days of usage.1.Sound - Very good and neat effect 2.Picture quality is very good.3. Wifi connectivity is good and fast4. Functionally it is working fast and good.5. Bluetooth connection is slow but after software update it is also looks good.Overall the product is good and value for money...Compare to other products spec. Is good...READ MOREAmazing picture quality and sound support Dolby digital if you have hd set top box plays youtube with good internet speed, just close your eyes and buy it amazing tvREAD MOREOne of the best at this price. Sound and picture clarity is mind blowing at an affordable range. Only issue felt is laag while screen casting, Otherwise it's a perfect purchase. Using it for more than 2 weeks now, so far so good ✌🤞READ MOREPicture Quality is good. Best tv for connectivity. But after 1month tv suddenly power off. And service is also not good. For only power sensor parts need to changed and it take 7-10 days time. This not good at all. They won't be replace the tv for any type of issue. Very bad from brand like motorola.READ MOREI am writing this review for Motorola ZX2 40inch after almost 45days of use.Pros* 40w sound output is superpub . ...its quite clear and loud . . ... Music output is also good* UI is super smooth and scrolling with remote is fast* Day light visibility is also good . . ...given that I placed in my hall which has good sunlight during day . . . ... But there is no problem with the display quality* HD DTH channels are Crips and clear* Playing OTT content is also enjoyable  . . . . .. in you...READ MOREI purchased three weeks ago and thank you flipkart and entire team for timely delivery and perfect installation by representative. Simply awesome experience overall.Picture quality & 40W sound system is outstanding. Value for money.READ MOREUsed it for more than a month now. For seamless experience I wanted a TV with atleast 2 GB ram and 16 HD and I must say this tv's performance with 2 GB ram is far far better than all other TV's with 1gb of ram. Picture quality is absolutely stunning. Sound matches what they promise. This TV should be foremost priority for anyone planning to buy 32 inch tv. I have 32 inch realme and 43 inch VU tv installed at my home but this tv exceeds in all parameters when compared to them. I regret that I ...READ MORE"
realme NEO 80 cm (32 inch) HD Ready LED Smart TV  (RMV2101),4.3,,"1,894 Reviews","2,825","1,118",332,107,302,Very beautiful 😍 ❤ 💖 💕 ♥ 👌 😍 ❤ tv 📺 and easy to use    And don't play freefire like gameREAD MORENice TV in this price.... Picture and sound quality also good. I am happy to purchase this Android TV. Thank you Flipkart.READ MOREExcellent TV for this price compare to other and Good service. Installed TV 3 days early before as mentioned in site. Technician is well trained Explained all features. Good picture qualityREAD MORENice tvREAD MORESimply super 👌READ MORENiceREAD MORESooo nice worth  for moneyREAD MOREHigh quality pictures and smooth performance Mi Tv is Paisa vasoolREAD MOREValue for money Nice Tv awesome pictures quality.READ MOREWorth it!READ MORE
Mi 4C 108 cm (43 inch) Full HD LED Smart Android TV,4.4,,341 Reviews,"2,378",916,205,63,183,"Colour production is good , motion interpolation is perfect . It is va panel for 43 inch tv viewing angle is good, not ips as  in description , sound quality is good, Contrast ratio is actually ok  and at times black looks like grey .READ MOREThere is difference in opinion about its panel type. Whether it is VA or IPS? LG has not yet revealed about panel type. Viewing angle is not like 178 deg. Magic remote has not been provided thats why we cannot use Alexa and Google voice assistant. You have to purchase magic remote. We can give voice commands through  LG thinq app downloaded in your smart phone but voice recognition is very poor. Compatible magic remote for TV model is not available in India. Be carefull while purchasing remot...READ MOREBought in Big Billion Sale and got the tv within 7 days. Good delivery by flipkart on those busy days. Coming to LG TV, we were using LG 32 inch tv for last 5 yrs and this was an upgrade. TV is quite nice. WebOS is functional. Easy to use. This does not have a magic remote but I don't think we need that as it have LG thinq app which does it better than remote. Video quality is great as expected. Sound quality is more than what we expected. It's ability to pair with Bluetooth speakers and t...READ MOREUsing it for over 7 days. It has amazing picture quality, sound is good thanks to AI mode, low boot up time, connectivity with Bluetooth and WiFi works great, supports all famous OTT apps and best part is it’s support to IPhone. Just go for it! Thanks to flipkart for delivery in one day and installation done on same day.READ MOREQuick delivery and installation picture clarity is good value for money worth product thank you FlipkartREAD MOREIts a mind blowing purchase. This is my fourth LG tv two are crts and it is now working in my brothers houses and the third was 32 inch smart fhd brought in 2013 and now sill in working confition. i reccoment LG tvs for durability and picture clarity. And also sound .The web OS is very userfriendly and in this 2021 model Filmmaker mode is awesome experiance. All ott platform are available and totally nice productPros Awesome picture clarityGood sound outputWeb OS is very good workingiPh...READ MOREReal vallue for money considering the various features and hi end software support like eArc etc within the given price point. What's missing is the magic remote which I believe should have been provided.  No mention by LG about panel type ( IPS or VA ) but over all I'm satisfied with my purchase.READ MOREMagic remote should have been given in the Box Instead of basic remote,  LG should have installed android Instead  of web os , aslo connectivity with my Sony home theatre is not good through ARC, sometimes I need to restart both the home theatre and tv for detection,55 inch has IPS panel and it's best, 43 and 50 inch have VA panel (confirmed from LG service center) got 55inch at unbelievable price 44 k during big billion daysAfter one month of usage I can say display is best ,my opinion is...READ MOREDisplay quality is not good as expected. No magic remote, so without Magic remote no use of Alexa. Side viewing angle is not too good. Sound quality is very good.READ MOREVery good . Value for money 55k is very big tv for normal person who was viewing previous 21"" crt /lcd tv .Just felt aound clarity is not good that much.READ MORE"
SAMSUNG 108 cm (43 inch) Full HD LED Smart TV  (UA43TE50FAKXXL),4.4,,441 Reviews,"13,135","4,589","1,655",576,"1,668","Ordered on 5th oct 2021 delivered on 7th oct installation done on 8th oct, delivery and installation was on scheduled timePicture quality 10/10Sound 10/10 Connectivity 10/10 OS linux 8/10Apps 8/10Quick cast 8/10Remote 10/10Low blue light 10/10Overall product 10/10I am really satisfied with the product brilliant picture quality good sound output doesn’t need any extra attachments like sound bar, connectivity is really good didn’t lagged, OS linux is nice quick response of home butt...READ MORESo nice realme smart tv nice video suppab sound awesome♥️♥️i m so happyREAD MORERealme tv it’s amazing and value for money good product good picture quality, really amazingREAD MOREI love this product and this is very nice LED TV in this range. Picture quality is hd and superb ☺️ on time delivery and installation. Thank you Flipkart Team for amazing productREAD MOREPicture is Good and Sound is very good.This TV is only for common people, not for smart people. Best for Family TV.☺️😊👍READ MORESuperb quality like it wow amazing pictures quality I m do happy 🤩🤩🤩 love it tq FlipkartREAD MOREVery nice product good clarity and nice featureREAD MOREBest quality product and insane product and fentastic and fast and free installation service and thank u mi and thank u flipkartREAD MOREThis is a very good tv. Picture quality is decent and sound quality with 20w speaker and Dolby Atmos is just awesome. It is fully recommended for those users who experience media only vie set top box but the tv is non android so those users interested in online media  streaming should not go go for it. They should look for other options available in the market..Final verdict is that if you can grab it under 12k in sale it will be a great value for money option for you...READ MOREBudget Smart Tv. It's an amazing experience Thank You #Flipkart for this offer. Nice ConnectivityREAD MORE"
LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV  (43UP7500PTZ),4.4,,445 Reviews,"2,576","1,018",226,68,193,"Super tv 2020 samsung i like it buy now and video and Sound best of best and brand is noREAD MOREExcellent TV, best quality, and as the name, truly a smart TV.It can recognise any input, may it be your local cabel, or DTH, or a game console. Also, all streaming apps available, Netflix, YouTube, PrimeVideo, Zee5, SonyLiv, Disney+Hotstar, JioCinema, Apple TV, Spotify, Gaana, etc. Miscellaneous apps like, gallery, Internet also available.Other apps of your choice can also be downloaded from the app store. You can choose any voice assistant from, Alexa, Google assistant or Bixby.Indeed ...READ MOREAmazing picture clarity and sound is good for a big hall as wellREAD MOREWithout any doubt you can buy it..100% value for money.. ...Over all good product from Samsung  .excellent picture quality..and also the sound Clarity is decent good i have satisfied with my purchase.READ MOREgreat product  fhd, connectivity , sound , picture quality ,  all are nice , price also minimum in this segment . I purchase this without seeing any rating and review and satisfied totally . Good delivery .READ MOREAmazing buy!Better than Chinese brands, there's a reason why Samsung, LG, and SONY are deemed & accepted as premium brands.Great picture qualitySound quality is good...better than other brands for sureThose who are app buffy, look elsewhere, tiezen won't give u much optionsJust in case u want to enjoy great picture quality n decent sound on your set top box...with the option to access few highly popular apps......go for it blindly...... Don't think twice...i didn'tREAD MOREI purchased this TV in Dec 2020 Delivery and installation is very fast as expected.After 6 months iam writing this review may be it will help others.Everything is good in TV except Sound clarity. Earlier i used LG where i used to see sound clarity is awesome no problem in any sound.But in Samsung some places we cant understand what they are saying and clarity is not good and we need to force on our ears to understand what they are saying.Samsung needs to do something in Sound problem wit...READ MOREGood picture Quality. Sound Quality is also good like home theater.Good product from Samsung..Delivery and installation is very fast and smooth.Samsung Engineer for installation is supportive.After order in only 4 days product delivered by flipkart and in next 2 days installed tv by Samsung.Some connectivity is slow but its ok.Go for it.READ MOREIts one of the fast smart tv i have seen when it comes to loading apps. But one problem is viewing angle. The moment you are not in straight line of tv the colors fade out. I thought these problems are with those cheap brands like mi or hisense only. I was disappointed to see samsung has this too else i would have preferred to go for sony. This was my second tv in home for my bedroom. Rest app support and wifi connectivity is very good. No lags. Better go for a model which has better viewing ...READ MOREAmazing purchase at this price range. Ticks every box for a great FHD TV.Listing the Pros:1. Audio - No need to worry about weak low end (bass). It's very full sounding and provides uncompromising experience.2. Brightness - The TV adjusts brightness automatically (which can be turned off) so at times that can give impression of low brightness. But it's really bright and holds up even in well lit room.3. Image: Pristine, sharp image with really full color, nothing washed out. Nuff said.4....READ MORE"
Mi 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.3,,"8,229 Reviews","49,336","20,212","4,758","1,373","4,483","PROs1) great picture quality for this price.2) it supports almost all formats.3) sound is good.4) borders are thin, design is simply elegant. even logo is not irritating eyes.5) User Interface is simpler because of android.6) Patchwall 2.0 is quite useful after some use.7) connectivity to internet and phone is simple and reliable.8) Powercable is long enough and of good quality.9) Voice operations are more accurate than before.10) More Settings and many Modes for pictures are given....READ MOREThe best LED TV you can get at cheaper priceClearity and connecticity is excellentREAD MOREAfter 20+ days of usage.. 4.5/5Picture quality_- good enough for daily use like TV series, news, serials n all..Sound.. Soo LoudConnectivity_-didn't face any problem with WiFi connectivity Chromecast.. don't know why people are not able to connect it properly mine works perfectly fine.. bit of a problem in remote cause of Bluetooth connectivity but after few try it'll work fine.. YouTube also works fine didn't face any problem like picture and sound delay.. I even watch 4k on YouTube it...READ MOREGreat picture quality at affordable price, sound quality is an outlier in otherwise perfect product.I'm really impressed with the specifications and price. tested and amazed with picture quality as well. interface is smooth and easy to hands-on. app references are given but you have to download all of them as you wish. cons: one and only disappointment. Sound. .sound quality is below par. equalisation definitely has some issue, you need to have remote in hand all the time to control e...READ MOREAs many people have commented in their reviews, the wifi issue is quite serious. Tried out many options available on internet to get it fixed, but no success. If a smart tv cannot have its wifi working properly, then in no means it can be called a smart tv. This is absolute failure of an MI TV. I have the fire tv stick from an year back, which works like a charm on the same wifi connection.READ MOREEXCELLENT LED TV FOR MI BUDGET AND BEST VALUE FOR MONEYIT'S GREAT PERFORMANCEFULLY SATISFACTIONVERY GOOD SERVICE BY FLIPKART AND JEEVES INSTALLATION SERVICEREAD MOREIts a great bang for buck TV.Pros:-- 4K panel is great. You can clearly notice difference between full HD and 4K when you're closer or using it as a monitor.-- Performance is good enough. Better than Firestick in many instances. Worse in case of prime video (which is expected). Startup takes about 30 seconds which is fine for a smart TV.-- Ability to use default android TV interface instead of MI skin-- Decent set of ports. Glad it also includes a 3.5mm headphone port which many TV ...READ MOREWonderful Picture, Sound quality. UI is also full of features and  easily operable. Much Much better than OnePlus TV as that one is overpriced. All the Features are same except Speaker. Oneplus has 50watt speaker while Mi has 2 10 watt speakers, which is having enough sound quality.You can get feature of patchwall 2.0 in MI which isn't in OnePlus. It is also consuming less data than anyother tv.READ MOREMI LED 4X 43 IS A BEAST...!!PICTURE QUALITY WAS VERY SHARP AND CLEAR.... I'M VERY IMPRESSED BY THE PICTURE QUALITY OF THIS MI LED ..ANOTHER THING IS THE SOUND QUALITY IT'S OUTSTANDING...SOUND QUALITY WAS VERY GOOD....OF THIS....!!!I'M VERY HAPPY TO BUY THIS PRODUCT..READ MOREReally Love the Television and the quality of the tv is super good 4k UHD and the sound was awesome Dolby Atmos 20.W Speaker it also support Netflix,Patchwall, Google Play and YouTube it also has Chromecast Built inREAD MORE"
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart TV  (UA55AUE60AKLXL),4.4,,527 Reviews,"3,068","1,161",234,81,395,"Picture - 10/10Sound - 9/10Connectivity - 9/10Guys please go for voice assistant enabled tv otherwise you will have to press lot more buttons than usual and that is a big problem . Rest everything is great as expected. The picture is great , sound is good for 120 sq ft room . All features are user friendly and operates with ease.READ MOREVery impressive picture quality .Good color balance and  video presets are available unlike some tv's where colors are more defined for watching soaps and reality shows(by default). Connectivity is great. Connets to 2.5 as well as 5ghz wifi band . Remote operation is intuitive. Software experience is good. There is no voice asistance ( only available in pro i think) but its not a deal breaker for me. The hdfc cashbacks and flipkart plus discounts makes it a very lucrative deal.  Sound is ov...READ MOREIt's a very good product. Working fine with great picture quality. Sound is good with only 20W speakers.READ MOREAll good. But one thing. Improve the sound quality. Thats nit upto the mark. Good delivery by flipcart. East installation on the same day. Picture quality superb. Just unsatisfied with sound quality. Samsung need to work if they have to survive.READ MOREExcellent product. Excellent delivery & installation. You just need a good internet connection to enjoy this television. One of the best in the category.READ MOREExcellent picture qualityREAD MOREBest in this price range. Amazing picture quality. Audio is also good (better with a sound bar). Awesome build quality. Highly recommended.READ MOREBudget 4K ULtra smart LED in this Timely delivered and free installed.READ MOREI had to choose between samsung and other brands like LG, Kodak, Vu. Ultimately went with samsung for peace of mind. Picture and sound quality is great. With a good internet connection, the picture quality is amazing and connectivity is not an issue barring the need to end the app in ipad and restart to airdrop the content. Use smart things to connect your tv to google home and use your mobile as remote. The 43 inch tv makes it easier to use it from my bedroom too. Loving itREAD MOREIncredible product. The same series casts more than 60k in retail stores, so make sure you buy this one online. The packaging for good and the installation was very quick. Got this product on 21st June and the installation happened the very next day.Great picture and sound quality. Overall I am super satisfied after spending this much money Must buy for those who want a 50 inch plus TVREAD MORE"
SAMSUNG Crystal 4K Pro 146 cm (58 inch) Ultra HD (4K) LED Smart TV with Voice Search  (UA58AUE70AKLXL),4.3,,627 Reviews,"3,248","1,213",247,71,322,"Ofcourse its a 4k tv so its very high standerd in picture and very nice in sound also,I didnt use other tv its my first 4k tv so I cant surely say which is best but its reqlly good,I am satisfied with product and installation done after just 4 hrs after delivery it very fast impressive and samsung representative is help full during demo.READ MOREI have ordered tv on 8th May it arrived on 12th May Very fast delivery and the product is very good The display quality is so good sound quality is 10/10Display is 10/10Connectivity is so fast Overall worth buyingREAD MOREIt's value for money product.Samsung brand name itself is enough to go for it. Delivery was on time and next day installation was done. Amazed with Flipkart as well as Samsung service.Here's what I will rate out of my experience.Picture Quality - 5/5Audio Quality - 4/5Connectivity - 4/5App Support - 3.5/5OS Features - 4/5As described bezels are really thin and that's looks great on tv. The Tizen OS boots really fast, it has some pre-installed apps like Netflix, Prime, YouTube and...READ MOREOverall good product, picture clarity is very good. Audio is decent for 20W dual speakers. Operating system is Tizen and limited to few available apps, which is not a deal breaker. Built quality is not up to the mark, mostly plastic.I had purchased AUE60 from Samsung Shop App and it was delivered with defect,  line was visible in the display, found by the installation team. I had to break my head over 25 days for a replacement/refund with Samsung. Very disappointing customer support from Sa...READ MORE1. Sound is average, may require soundbar for theatrical experience.2. Apps like MX player, Discovery+, epic are not available. App store not much rich in number.3. Picture quality and contrast outstanding ( blacks are like real black) but Viewing angle average, as It's not IPS panel (I think)4. Software is Breeze5. Installation excellent.6. Bazels are slim looks are beauty, will give heart burn to others7. Remote is Excellent, sound buttons are like joystick 🕹️8. Overall i'Il recomme...READ MORESamsung does not share it that this TV has just 4GB of storage and 1GB of RAM this makes it not worthy of money. This information is not shared anywhere by Samsung including it's official website and support team also does not know it. Very few apps are available to download which can be counted in your single hand itself. Hardware is great but the speaker does not justify the money we spend for this TV.READ MOREVery much satisfied with the product , Its resolution level is quite fine and the finishing of samsung crystal 4k pro was excellent but not much satisfied with the sound systemREAD MOREIt's best tv for price range and it doesn't have aux options and it's not android TV...can't install new apps...or small games ... and its remote is smart but small and keys are hard to get adjusted 43 inc tv is good for 17 x 10 hall of homeREAD MOREPicture quality is too good, sound level is not so good but ok. Value for money, always better than cheaper brand...READ MOREPicture Quality is Awesome but sound is not enough because it having only 20w speakers if you’re okay to use separate sound bar this is perfect tv.READ MORE"
realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Vision & Atmos  (RMV2004),4.4,,"2,451 Reviews","12,861","5,174","1,296",389,"1,516","Received the 50 inch model of Realme 4k TV on 09/06/2021 (As they Promised).ABOUT FLIPKART'S SERVICE:- 1st- Unlike its competitor, Flipkart offers an open box delivery. So, at the time of delivery, you can confirm if their is any damage/problem in the unit. Hats off to Flipkart for this kind of service.2nd- Unlike its competitor, Flipkart takes care of Installation. Though they can't able to keep the promise of same day installation, the installation has been done on very next day (i.e. o...READ MOREMy Honest review .1)Picture quality is really good even with sd channels.Colur production is high and brightness is  also high.I suggest to keep picture mode on “movie” mode so u can see some natural type colur. 2)sound  would be better but ok . Bass is not so cool there is no thump in bass,if u manually set it in setting .I suggest to keep dolby atmos off and dts truvolume on then u can see major change in volume.3)i hv sony sa d40 sound system but it doesn’t connect to tv don’t know w...READ MOREValue for money. Received  yesterday.The Best in this price range.Display quality is really awesome no  need to think again.sound quality is also V good.Connectivity and performance is very good.Fully Satisfied with the product.installation done at the next of delivery and good service by technician in decent manner.Many times seen you tube reviews about this product quality. After installing I just known the product is really worth every penny. its a new happiness to your home with n...READ MOREI like so much flipkart service is good same day institutions the picture quality of tv is awesome and sounds quality also wife connection also strong i love it.READ MOREGreat value for money, bought in big billion sale. Flipkart delivered as promised and jeeves installed next day morning which is nice. 1. Excellent picture quality 2. Excellent sound quality3. Android 10.4 update received 4. You can connect only digital audio cable to your woofer. There is no socket available for 3.5mm audio jack, so please watch out for cable converter options. 5. Ok google assistant is awesome! V convenient no need to use remote. Excellent feature. 6. No wall mount if...READ MOREFirst, after two days of using TV, I saw that one USB port is not working properly then I call  service center and he try to fix it but couldn't. Finally I replaced the TV. Now I am giving reviews of this. Firstly best in this price range. Amazing picture quality and also audio quality. Wi-Fi & Bluetooth connectivity is very good. I liked it the most the hands-free voice control through the Google Assistant features, I give simple commands to it for easy control. So I highly recommend it.READ MORE1) Amazing Picture qualityThe colours are really worth spending money and the very very clear display and has focused perfectly on edges ..but sometimes the the skin tones in the picture varies.2) Sound is quite loud but quality of sound could have been better ..with Dolby Atmos 3) Connectivity is the thing Android TVs are bad at but  the dual band WiFi is quite good and Bluetooth is the best I've seen in a TV. But wifi sometimes has shown the problem not while connecting but disconnecting...READ MOREI am writing this review after using the tv for 10 days and I must tell you that you will not find a tv better than this at this price range. Hands down this the best tv in this segment and you do not need to go for any other tv. I had earlier used both VU's premium android and MI 4x tv and this tv stood out from both of them. I can go and write a whole essay of how cool this unit is but you must know one thing before buying this unit.This tv does not support 5G wifi. I have a latest technol...READ MORESuper and good 4k tv full 4k and sound is good best quality  product  we love love love souch thank you realme and flipkart..READ MOREBest budget smart tv for sure. Got so many features like 4k Dolby Atmos and Dolby vision makes it worth of money. And connectivity with any gadget also good. Delivery and installation done properly. Thank you flipkart 👍READ MORE"
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV  (32PATH0011),4.3,,"13,809 Reviews","38,435","15,039","3,031","1,128","3,409","This is an awesome product. Just go for it if your planning to buy a smart tv at a small budget. Pros:Nice picture quality.Amazing product at this price range.Nice connectivityThe recognition of sound by the google assistant is accurate.Value for money.Cons:Till now, I found that the bass is not that great. The sound quality is amazing, but the bass is not great.Overall, at this price range this is the best product right now. If you're planning to buy one, then just go for it. T...READ MOREOne of the best Smart Tv... Even it can compete with higher range Smart TVs... Excellent product and a smart buy product... Nice sound ans nice picture qualityREAD MOREoh so sweet Thomson 9A series is awesome and your choice one of the best  budget price  TV .me and my wife personally like this TV and digital remote style is very stylish and very nice look remote.pure Android experience Android one TV (4.7 STAR) itREAD MOREI appreciate Flipkart on this order. I am in out of City in village. But Flipkart done Very fast quick delivery. Installation done on next day itself. Video clarity is superb and audio is loud and chill but no bass effect I added an home theatre for sound effect. YouTube and prime video are good to use. Good assistant is working good. Connected 2 TB Harddisk and working fine. 4K videos are playing from pendrive or harddisk. Overall worth to buy in this budget.READ MOREPicture is not clear n too bright.  It appears like 3d without 3d glasses. It's that blurry.  And contrast is too high. Everyone's face appears on tv is too flashy. Viewing angle is 120 Though they say 178. U can get good picture only at 90 as u go away U ll see picture go greyish. Looks good from far(10 ft onwards)Connectivity is ok. Has glitches like other android TV's. Chromecast is good. Sd box not recommended.READ MORETV is worth in the price range but accessories are not durable. Quality of Remote is substandard, it stops working with in 5-6 months despite decent usage. If you think of buying new remove, need to spend additional 2000. The satisfaction of buying smart tv at low cost vanishes, instead buy a branded tv like sony or samsung which has lasting durable accessories.READ MOREThe TV is a better option for people who are looking for non Chinese TVs. The picture quality of the TV is above average. The colours are flashy and you need to work to set them up for the first time as per your preference. Same is worth sound. Sound is also above average and can be set using several customisation options. There are a lot of features this TV has. Connectivity is excellent. Pure Android experience is great and we have options to install apps which are our favourite. In terms o...READ MOREExcellent one.This TV is better option for more people. After 10 days review it's good quality picture and sound quality is also good 🎶 . connectivity is above average. totally it's value for money . I 1st watched from the tv  tharamana movie soorarai potru(actor surya)🔥 with satisfy 😁. safely packed Thank u FlipkartREAD MOREThe setup and installation was on time. The remote is easy to use and Google assistant feature in the remote is very helpful.Had to download android remote app as sometimes you need to enter email address and password.There is an option to select a default mode on startup that is helpful as we do not need to select HDMI option every time to go to the DTH set top box input.You tube runs flawlessly. The HD content is clear but SD content looks a bit hazy Overall, I am satisfied with the...READ MOREA VERY HONEST REVIEW AND DO READ IT ONCE BEFORE BUYING THOMSON TV OR ANY THOMSON PRODUCT :The initial impression -buying and installation  experience was great .... the build /sound and picture quality justifies its price and its a good purchase.I did had some issues in the beginning of the month but those were firmware or software issue that was fixed itself through software various update from google ...maybe it can happen to you too..as android tv is getting old and now google has lau...READ MORE"
Mi 4C 80 cm (32 inch) HD Ready LED Smart Android TV,4.6,,341 Reviews,811,193,30,6,50,"Before this one we bought Thomsom 9x pro and its has so much problem Netflix not supporting and sound and apple tv don’t have sound and requested for replacement and again same problem so at last we asked refund. And then i was so scared to buy this oth pro max but I gave a try again for Thomsom. But this time oth pro max cames out very good product better then all older models Thomsom tv. Bezel less look so good to hang on wall, picture is best, Netflix working so fine with hot keys. Sound i...READ MOREProduct package very nice and the picture quality of Thomason OATHPRO Max tv is very good and clear. Sound are amazing and over all view is fantastic.READ MORELook wise tv is very good and picture quality is amazing and sound quality is also good and remote is also very good over all tv is value for money great product.READ MORESuperb Picture Quality, Sound  is Crisp & Clear best among all the tvs i had in the past.READ MOREPicture quality awesome 👍🙂 Support Dolby MS12 and DTS  surround sound is  good 👍😊😘 and Best 4K display and excellent product for the Price 👍🙂 So I am very very Happy Thanks you so much Flipkart 🙂❤️🙏READ MOREAfter so much research I bought it. It’s been 3 weeks since I bought this TV.Worth the money & the sound quality is so good and high.When it comes to picture quality,It’s mind blowing(It has 500 NITS brightness which does the job.Kindly note no other TV has this much NITS in its segment which really essential for pure picture quality).Finally, I can say it’s an Absolute master piece in 25K-30K.READ MOREGo for it with closed eyes!One of the best TV in this price segment. Amazing picture quality, sound, edge to edge display and the software! Love it! This was my second Thomson Tv and i can recommend it to anyone!READ MOREJust Amazing in all aspects in this price Range I am using this tv from last 5 days Fast delivery and installation IPS+ display is good with 40 watt Box speaker & inbuilt mic in Remote with hotkeys is Amazing Google Play Store added advantage to searching Apps that you Required.i have only words that if you planning to buy new smart TV ""JUST GO FOR IT""READ MOREExcellent LED Smart TV in this rangePicture Quality is GoodConnectivity features are Nice Sound Quality is Not GoodREAD MOREThis is excellent product. I am so happy to purchase Thomson Oath Pro series TV. Picture quality is superb. Till now I didn't see any lag in pictures. Colours comes out to be crispy and natural. Brightness is also fine and diffrence between drak and bright area is significant. However sound needs more tuning as per requirement. More bass expected. Build quality is also nice and biezeless experience was really great. Gaming performance yet to be checked. I definitely recommend this to everyone...READ MORE"
Thomson OATHPRO Max 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers  (43OPMAX9099),4.4,,276 Reviews,"2,825","1,118",332,107,302,Very beautiful 😍 ❤ 💖 💕 ♥ 👌 😍 ❤ tv 📺 and easy to use    And don't play freefire like gameREAD MORENice TV in this price.... Picture and sound quality also good. I am happy to purchase this Android TV. Thank you Flipkart.READ MOREExcellent TV for this price compare to other and Good service. Installed TV 3 days early before as mentioned in site. Technician is well trained Explained all features. Good picture qualityREAD MORENice tvREAD MORESimply super 👌READ MORENiceREAD MORESooo nice worth  for moneyREAD MOREHigh quality pictures and smooth performance Mi Tv is Paisa vasoolREAD MOREValue for money Nice Tv awesome pictures quality.READ MOREWorth it!READ MORE
SAMSUNG Crystal 4K Pro 138 cm (55 inch) Ultra HD (4K) LED Smart TV with Voice Search  (UA55AUE70AKLXL),4.4,,627 Reviews,"3,248","1,213",247,71,322,"Ofcourse its a 4k tv so its very high standerd in picture and very nice in sound also,I didnt use other tv its my first 4k tv so I cant surely say which is best but its reqlly good,I am satisfied with product and installation done after just 4 hrs after delivery it very fast impressive and samsung representative is help full during demo.READ MOREI have ordered tv on 8th May it arrived on 12th May Very fast delivery and the product is very good The display quality is so good sound quality is 10/10Display is 10/10Connectivity is so fast Overall worth buyingREAD MOREIt's value for money product.Samsung brand name itself is enough to go for it. Delivery was on time and next day installation was done. Amazed with Flipkart as well as Samsung service.Here's what I will rate out of my experience.Picture Quality - 5/5Audio Quality - 4/5Connectivity - 4/5App Support - 3.5/5OS Features - 4/5As described bezels are really thin and that's looks great on tv. The Tizen OS boots really fast, it has some pre-installed apps like Netflix, Prime, YouTube and...READ MOREOverall good product, picture clarity is very good. Audio is decent for 20W dual speakers. Operating system is Tizen and limited to few available apps, which is not a deal breaker. Built quality is not up to the mark, mostly plastic.I had purchased AUE60 from Samsung Shop App and it was delivered with defect,  line was visible in the display, found by the installation team. I had to break my head over 25 days for a replacement/refund with Samsung. Very disappointing customer support from Sa...READ MORE1. Sound is average, may require soundbar for theatrical experience.2. Apps like MX player, Discovery+, epic are not available. App store not much rich in number.3. Picture quality and contrast outstanding ( blacks are like real black) but Viewing angle average, as It's not IPS panel (I think)4. Software is Breeze5. Installation excellent.6. Bazels are slim looks are beauty, will give heart burn to others7. Remote is Excellent, sound buttons are like joystick 🕹️8. Overall i'Il recomme...READ MORESamsung does not share it that this TV has just 4GB of storage and 1GB of RAM this makes it not worthy of money. This information is not shared anywhere by Samsung including it's official website and support team also does not know it. Very few apps are available to download which can be counted in your single hand itself. Hardware is great but the speaker does not justify the money we spend for this TV.READ MOREVery much satisfied with the product , Its resolution level is quite fine and the finishing of samsung crystal 4k pro was excellent but not much satisfied with the sound systemREAD MOREIt's best tv for price range and it doesn't have aux options and it's not android TV...can't install new apps...or small games ... and its remote is smart but small and keys are hard to get adjusted 43 inc tv is good for 17 x 10 hall of homeREAD MOREPicture quality is too good, sound level is not so good but ok. Value for money, always better than cheaper brand...READ MOREPicture Quality is Awesome but sound is not enough because it having only 20w speakers if you’re okay to use separate sound bar this is perfect tv.READ MORE"
